TR000	 MR=P, FR=N, MM=P, FM=P
TR001	 MR=P, FR=P, MM=P, FM=P
TR002	 MR=N, FR=N, MM=P, FM=P
TR003	 MR=IS, FR=IS, MM=IS, FM=IS
TR004	 MR=N, FR=N, MM=N, FM=N
TR005	 MR=E, FR=N, MM=E, FM=E
TR006a	 MR=P, FR=P, MM=P, FM=P
TR006b	 MR=E, FR=E, MM=N, FM=N
TR007	 MR=N, FR=N, MM=N, FM=N
TR008	 MR=N, FR=N, MM=P, FM=P
TR009	 MR=N, FR=E, MM=P, FM=P
TR010	 MR=N, FR=N, MM=N, FM=N
TR011	 MR=N, FR=N, MM=N, FM=N
TR012	 MR=N, FR=N, MM=N, FM=N
TR013	 MR=IS, FR=IS, MM=P, FM=P
TR014	 MR=N, FR=N, MM=N, FM=N
TR015	 MR=N, FR=N, MM=P, FM=P
TR016	 MR=E, FR=E, MM=N, FM=N
TR017	 MR=N, FR=N, MM=N, FM=N
TR018	 MR=E, FR=E, MM=E, FM=E
TR019	 MR=P, FR=P, MM=P, FM=P
TR020	 MR=P, FR=N, MM=N, FM=N
TR021a	 MR=E, FR=E, MM=P, FM=N
TR021b	 MR=N, FR=N, MM=E, FM=N
TR022	 MR=N, FR=N
TR023	 MR=N, FR=E, MM=N, FM=N
TR024	 MR=N, FR=N, MM=N, FM=N
TR025	 MR=N, FR=N, MM=E, FM=P
TR026	 MR=IS, FR=P, MM=P, FM=P
TR027	 MR=E, FR=N, MM=P, FM=P
TR028	 MR=P, FR=P, MM=P, FM=P
TR029	 MR=P, FR=P, MM=P, FM=P
TR030	 MR=N, FR=N, MM=N, FM=N
TR031	 MR=N, FR=N, MM=N, FM=N
TR032	 MR=N, FR=P, MM=N, FM=P
TR033	 MR=N, FR=P, MM=P, FM=P
TR034	 MR=N, FR=N, MM=N, FM=P
TR035	 MR=N, FR=N, MM=N, FM=N
TR036	 MR=N, FR=N, MM=N, FM=N
TR039	 MR=P, FR=P
TR040	 MR=N, FR=N
TR041	 MR=P, FR=P, MM=N, FM=N
TR042	 MR=IS, FR=IS, MM=IS, FM=P
TR043	 MR=IS, FR=IS, MM=IS, FM=IS
TR045	 MR=N, FR=N, MM=N, FM=N
TR046	 MR=N, FR=N, MM=N, FM=N
TR047	 MR=P, FR=P, MM=P, FM=P
TR048	 MR=N, FR=N, MM=N, FM=IS
TR049	 MR=P, FR=P, MM=IS, FM=IS
TR050	 MR=N, FR=N, MM=N, FM=N
TR051	 MR=N, FR=N, MM=N, FM=N
TR052	 MR=E, FR=N, MM=N, FM=N
TR053	 MR=P, FR=N, MM=N, FM=N
TR054	 MR=P, FR=P, MM=N, FM=N
TR055	 MR=P, FR=P, MM=P, FM=P
TR056	 MR=N, FR=N, MM=N, FM=N
TR057	 MR=E, FR=P, MM=IS, FM=IS
TR058	 MR=P, FR=P, MM=P, FM=P
TR059	 MR=N, FR=N, MM=P, FM=P
TR060	 MR=N, FR=P, MM=P, FM=P
TR061	 MR=N, FR=N, MM=N, FM=N
TR062	 MR=IS, FR=N, MM=IS, FM=N
TR063	 MR=P, FR=P, MM=P, FM=P
TR064	 MR=N, FR=N, MM=N, FM=N
TR065	 MR=IS, FR=IS, MM=N, FM=N
TR066	 MR=N, FR=E, MM=N, FM=E
TR068	 MR=N, FR=N, MM=P, FM=P
TR069	 MR=E, FR=N, MM=N, FM=N
TR070	 MR=E, FR=E, MM=N, FM=N
TR071	 MR=N, FR=N, MM=N, FM=N
TR072	 MR=P, FR=P, MM=P, FM=P
TR073	 MR=N, FR=N, MM=E, FM=E
TR074	 MR=N, FR=N, MM=P, FM=P
TR075	 MR=E, FR=E, MM=P, FM=P
TR076	 MR=P, FR=P, MM=P, FM=P
TR077	 MR=N, FR=N, MM=IS, FM=N
TR078	 MR=N, FR=P, MM=N, FM=P
TR080	 MR=P, FR=P, MM=P, FM=P
TR081	 MR=P, FR=N, MM=N, FM=P
TR082	 MR=N, FR=N, MM=N, FM=N
TR083	 MR=N, FR=P, MM=E, FM=N
TR084	 MR=P, FR=P, MM=P, FM=P
TR085	 MR=P, FR=N, MM=N, FM=P
TR086	 MR=P, FR=P, MM=P, FM=P
TR088	 MR=E, FR=E, MM=N, FM=E
TR089	 MR=P, FR=P, MM=P, FM=P
TR090	 MR=N, FR=N, MM=P, FM=N
TR091	 MR=N, FR=E, MM=IS, FM=N
TR092	 MR=P, FR=P, MM=N, FM=P
TR093	 MR=P, FR=P, MM=P, FM=P
TR094	 MR=P, FR=E, MM=N, FM=N
TR095	 MR=P, FR=E, MM=P, FM=P
TR096	 MR=N, FR=N, MM=N, FM=N
TR098	 MR=N, FR=N, MM=N, FM=N
TR099	 MR=P, FR=P, MM=N, FM=P
TR100	 MR=P, FR=P, MM=P, FM=P
TR101	 MR=N, FR=N, MM=N, FM=N
TR102	 MR=N, FR=N, MM=N, FM=N
TR103	 MR=N, FR=N, MM=E, FM=N
TR104	 MR=N, FR=N, MM=N, FM=N
TR105	 MR=P, FR=P, MM=IS, FM=N
TR106	 MR=IS, FR=IS, MM=N, FM=N
TR107	 MR=N, FR=N, MM=P, FM=P
TR109	 MR=N, FR=N, MM=N, FM=N
TR110	 MR=N, FR=N, MM=N, FM=N
TR111	 MR=P, FR=P, MM=N, FM=P
TR112	 MR=N, FR=N, MM=P, FM=N
TR113	 MR=N, FR=N, MM=N, FM=N
TR114	 MR=N, FR=N, MM=N, FM=N
TR115	 MR=P, FR=P, MM=P, FM=P
TR116	 MR=E, FR=N, MM=N, FM=N
TR117	 MR=N, FR=N, MM=P, FM=P
TR118	 MR=P, FR=P, MM=N, FM=P
TR120	 MR=N, FR=N, MM=N, FM=N
TR121	 MR=N, FR=N, MM=E, FM=N
TR122	 MR=N, FR=N, MM=N, FM=N
TR123	 MR=N, FR=N, MM=E, FM=N
TR124	 MR=N, FR=N, MM=P, FM=N
TR125	 MR=N, FR=N, MM=N, FM=N
TR126	 MR=N, FR=N, MM=N, FM=N
TR127	 MR=P, FR=P, MM=E, FM=P
TR128	 MR=P, FR=P, MM=N, FM=N
TR129	 MR=N, FR=P, MM=N, FM=N
TR130	 MR=P, FR=P, MM=N, FM=N
TR131a	 MR=N, FR=N, MM=N, FM=N
TR131b	 MR=N, FR=N, MM=P, FM=P 
TR131c	 MR=E, FR=N, MM=N, FM=N
TR132	 MR=N, FR=N, MM=N, FM=E
TR133	 MR=N, FR=N, MM=P, FM=N
TR134	 MR=N, FR=N, MM=P, FM=N
TR135	 MR=N, FR=N, MM=N, FM=N
TR136	 MR=N, FR=N, MM=N, FM=N
TR137	 MR=N, FR=N, MM=N, FM=N
TR138	 MR=N, FR=N, MM=N, FM=N
TR139	 MR=N, FR=N, MM=N, FM=N
TR140	 MR=P, FR=P, MM=N, FM=N
TR141	 MR=N, FR=N, MM=N, FM=N
TR142	 MR=P, FR=P, MM=P, FM=P
TR143	 MR=N, FR=P, MM=P, FM=P
TR144	 MR=P, FR=IS, MM=P, FM=P
TR145	 MR=N, FR=N, MM=N, FM=N
TR146	 MR=N, FR=P, MM=P, FM=E
TR147	 MR=N, FR=N, MM=N, FM=N
TR148	 MR=N, FR=N, MM=N, FM=N
TR149	 MR=P, FR=P, MM=N, FM=N
TR150	 MR=N, FR=N, MM=N, FM=N
TR151	 MR=N, FR=N, MM=N, FM=N
TR152	 MR=E, FR=N, MM=E, FM=E
TR153	 MR=P, FR=P, MM=P, FM=P
TR154	 MR=P, FR=P, MM=N, FM=N
TR155	 MR=P, FR=N, MM=P, FM=P
TR156	 MR=N, FR=N, MM=N, FM=E
TR157	 MR=N, FR=N, MM=N, FM=N
TR158	 MR=N, FR=N, MM=N, FM=N
TR159	 MR=N, FR=N, MM=N, FM=N
TR160	 MR=P, FR=P, MM=E, FM=P
TR161	 MR=N, FR=N, MM=N, FM=N
TR162	 MR=P, FR=P, MM=N, FM=P
TR163	 MR=N, FR=N, MM=N, FM=N
TR164	 MR=P, FR=P, MM=N, FM=N
TR165	 MR=N, FR=N, MM=P, FM=P
TR166	 MR=N, FR=N, MM=N, FM=N
TR168	 MR=N, FR=N, MM=N, FM=N
TR169	 MR=N, FR=N, MM=N, FM=P
TR171	 MR=N, FR=N, MM=N, FM=N
TR172	 MR=N, FR=N, MM=N, FM=N
TR173	 MR=N, FR=N, MM=N, FM=N
TR174	 MR=N, FR=N, MM=N, FM=N
TR175	 MR=N, FR=N, MM=N, FM=N
TR177	 MR=N, FR=N, MM=N, FM=N
TR178	 MR=N, FR=N, MM=N, FM=N
TR179	 MR=N, FR=P, MM=N, FM=N
TR180	 MR=N, FR=N, MM=N, FM=N
TR181	 MR=P, FR=P, MM=P, FM=P
TR183	 MR=N, FR=IS, MM=N, FM=N
TR184	 MR=N, FR=N, MM=P, FM=P
TR185	 MR=N, FR=N, MM=E, FM=N
TR186	 MR=P, FR=P, MM=E, FM=P
TR187	 MR=N, FR=N, MM=P, FM=P
TR189	 MR=E, FR=N, MM=E, FM=E
TR190	 MR=P, FR=N, MM=P, FM=N
TR191	 MR=N, FR=N
TR192	 MR=N, FR=N
TR193	 MR=P, FR=N, MM=P, FM=P
TR195	 MR=N, FR=N, MM=E, FM=N
TR196	 MR=P, FR=N, MM=P, FM=P
TR200	 MR=N, FR=N, MM=N, FM=N
TR201	 MM=E
TR203	 MR=N, FR=N, MM=N, FM=N
TR204	 MR=N, FR=N, MM=N, FM=N
TR205	 MR=P, FR=P, MM=P, FM=P
TR206	 MR=P, FR=P, MM=P, FM=P
TR207	 MR=P, FR=P, MM=N, FM=N
TR208	 MR=N, FR=N, MM=N, FM=N
TR209	 MR=P, FR=P, MM=P, FM=P
TR210	 MR=P, FR=P, MM=P, FM=P
